studytime,absences,G1,G2
2,6,5,6
2,4,5,5
2,10,7,8
3,2,15,14
2,4,6,10
2,10,15,15
2,0,12,12
2,6,6,5
2,0,16,18
2,0,14,15
2,0,10,8
3,4,10,12
1,2,14,14
2,2,10,10
3,0,14,16
1,4,14,14
3,6,13,14
2,4,8,10
1,16,6,5
1,4,8,10
2,0,13,14
1,0,12,15
2,2,15,15
2,0,13,13
3,2,10,9
1,14,6,9
1,2,12,12
1,4,15,16
2,4,11,11
2,16,10,12
2,0,9,11
2,0,17,16
2,0,17,16
2,0,8,10
1,0,12,14
1,0,8,7
3,2,15,16
3,7,15,16
3,2,12,12
1,8,14,13
2,25,7,10
1,8,12,12
2,2,19,18
1,0,8,8
2,14,10,10
2,8,8,8
2,12,11,12
4,4,19,19
2,2,15,15
2,2,7,7
2,2,12,13
2,2,11,13
1,6,11,11
1,0,8,10
1,6,10,13
2,8,8,9
2,0,14,15
2,4,14,15
2,2,9,10
2,2,15,16
2,6,10,11
1,6,10,8
2,4,8,10
3,2,10,9
2,0,10,10
2,2,16,15
4,4,13,13
4,4,7,7
2,2,8,9
4,12,16,16
4,0,13,15
4,0,10,10
2,2,8,6
1,2,12,12
2,54,11,12
2,6,9,9
4,8,11,11
4,0,11,11
1,2,8,8
2,12,5,5
1,2,10,12
3,4,11,10
2,10,7,6
2,4,15,15
2,2,9,10
2,6,7,9
2,4,8,7
3,4,13,14
2,12,11,10
2,18,8,6
3,0,7,7
1,4,16,17
2,4,7,6
2,0,11,10
4,6,11,13
4,2,7,10
1,2,11,15
2,2,8,9
1,6,11,14
3,0,7,9
1,14,7,7
3,0,16,17
1,4,10,13
2,26,7,6
2,0,16,18
4,10,10,11
4,8,7,8
3,2,16,18
4,6,10,13
3,4,14,15
1,6,18,19
3,0,7,10
2,6,10,13
1,10,18,19
2,8,9,9
2,2,15,15
2,2,11,13
1,0,13,14
2,20,9,7
1,6,14,13
2,2,16,15
4,6,16,14
2,2,13,13
1,18,14,11
2,0,8,7
1,0,13,13
2,0,7,10
2,2,7,8
1,0,7,4
1,8,18,18
3,0,12,0
1,0,8,0
1,12,10,13
1,16,12,11
2,0,9,0
3,0,11,0
2,0,10,0
1,0,4,0
2,0,14,12
1,0,16,16
4,0,7,9
1,8,9,9
3,2,9,11
1,2,14,14
1,0,5,0
2,0,8,11
2,0,6,7
2,2,10,11
1,0,7,6
1,0,8,9
1,0,6,5
1,6,12,13
3,8,10,10
1,0,5,0
1,0,11,11
2,2,11,8
1,8,16,12
1,6,9,8
1,2,17,15
2,4,10,12
1,0,7,6
2,6,5,9
1,0,7,0
1,2,10,10
2,0,5,8
1,16,12,11
2,4,10,10
2,0,14,15
2,0,6,7
2,0,14,14
1,0,6,5
2,2,13,15
2,0,13,11
2,0,8,7
2,4,10,11
2,4,10,9
2,2,13,13
2,4,6,5
1,10,10,8
2,4,10,10
2,10,9,8
2,2,12,13
2,0,16,17
2,56,9,9
2,14,12,13
2,12,12,12
1,2,11,12
2,0,15,15
2,6,8,7
2,4,8,9
2,10,11,12
2,0,8,8
2,12,7,8
1,8,8,9
1,0,13,14
2,0,14,15
1,4,17,15
1,8,9,9
1,24,18,18
2,0,9,9
2,2,16,16
2,6,8,10
2,4,9,9
1,18,7,6
4,6,10,10
3,28,10,9
2,5,7,7
2,10,11,12
1,6,9,9
3,6,7,7
4,10,8,8
2,13,12,12
2,0,12,13
2,15,6,7
1,12,8,10
2,2,14,15
2,22,6,6
2,13,6,6
1,3,7,7
3,4,9,10
2,2,6,6
3,0,6,5
2,2,16,16
2,0,12,13
3,0,13,13
2,16,9,8
2,10,16,15
2,2,12,11
2,14,10,8
3,10,12,10
2,14,13,13
2,4,11,11
2,14,11,9
2,2,14,13
2,18,9,7
3,10,11,9
2,4,14,13
1,20,13,12
2,2,13,11
2,0,7,7
2,14,12,12
2,2,10,11
1,0,6,0
1,0,13,12
3,0,7,0
1,6,18,18
1,4,12,12
1,16,6,8
2,8,3,5
1,0,13,15
1,0,6,8
2,6,7,10
1,4,6,9
1,0,8,9
1,0,8,12
1,2,7,9
4,6,14,12
2,12,11,11
2,8,15,14
4,0,10,9
2,21,17,18
2,2,8,8
3,1,13,12
3,4,10,9
3,0,9,10
2,13,17,17
2,2,9,9
2,8,12,10
2,10,10,9
2,0,6,0
2,15,9,9
4,4,15,14
2,2,11,11
2,2,15,14
2,2,10,10
2,6,12,12
2,75,10,9
1,22,9,9
2,15,9,8
1,8,10,11
1,30,8,8
1,19,11,9
4,1,12,12
2,4,8,9
2,4,10,9
2,2,12,10
3,5,18,18
3,6,13,12
3,6,15,14
2,9,15,13
2,11,12,11
3,0,15,15
2,12,12,12
4,6,18,18
3,8,14,13
1,4,14,12
2,0,10,9
2,10,10,8
4,0,14,13
1,5,16,15
2,14,12,10
1,0,11,11
3,0,15,12
4,0,17,17
2,20,15,14
2,8,14,12
1,0,17,18
1,38,8,9
2,0,15,12
2,18,12,10
2,0,9,9
2,20,14,12
2,3,13,11
2,22,13,10
3,14,15,13
3,40,13,11
2,0,8,8
3,9,9,10
3,0,11,11
2,2,11,11
2,23,13,13
2,12,11,9
3,3,11,11
3,1,12,14
3,0,16,15
3,3,9,12
1,3,14,15
1,8,11,10
3,7,10,9
3,4,14,14
4,2,9,8
3,7,12,14
2,0,7,0
2,0,8,8
4,0,10,9
3,16,16,15
3,12,14,13
2,0,7,8
4,7,16,15
2,4,9,10
3,4,11,12
2,0,10,10
2,11,16,15
2,0,9,8
3,4,11,10
3,7,13,13
3,9,16,15
3,0,10,10
3,0,13,15
1,10,11,13
2,8,8,7
2,2,13,13
1,7,8,7
1,4,8,8
2,4,13,11
2,0,10,9
2,4,12,13
2,2,12,12
1,4,10,10
3,0,18,16
2,0,13,13
2,2,13,12
2,0,11,11
2,0,16,15
2,0,12,11
2,4,10,10
3,0,13,13
1,0,7,6
1,0,11,10
2,10,14,12
2,4,7,7
1,3,14,12
3,8,13,11
1,14,6,5
3,0,19,18
3,2,8,8
3,4,15,14
2,4,8,9
2,0,15,15
2,17,10,10
2,4,15,14
1,5,7,6
2,2,11,11
1,0,6,5
1,14,6,5
3,2,10,9
1,7,6,5
3,0,7,5
2,0,7,9
2,0,6,5
2,11,9,9
1,3,14,16
1,3,10,8
1,0,11,12
1,5,8,9
